iter	RMSE
0	929.6415169
1	927.6852699
2	923.7477444
3	919.3556439
4	915.3940821
5	905.1488997
6	902.9190481
7	895.61614
8	895.1511041
9	893.4918207
10	892.5143672
11	884.5952397
12	878.3804106
13	877.1287277
14	867.2012666
15	862.8874272
16	857.3783741
17	856.1176927
18	851.9364259
19	850.3031684
20	849.9122411
21	844.1430895
22	838.3600546
23	837.0790464
24	835.9695354
25	834.5059622
26	832.8572404
27	832.1701281
28	828.6078656
29	824.9299178
30	823.9920048
31	815.5823867
32	811.6860878
33	811.4412355
34	809.1490914
35	808.5408352
36	806.8254197
37	805.9036204
38	800.343731
39	796.0498072
40	794.4251687
41	793.2574261
42	786.3392184
43	786.0354723
44	784.8978249
45	784.7170497
46	783.6252229
47	782.7239143
48	782.2941294
49	778.4006163
50	777.1505486
51	776.9064077
52	776.5617161
53	776.322146
54	776.0747215
55	775.8914317
56	774.8518559
57	774.2468893
58	765.5237865
59	764.5275815
60	763.2799349
61	762.439928
62	761.5595113
63	760.729933
64	753.0564392
65	745.4055243
66	742.9599397
67	742.7160107
68	741.3950218
69	740.0961526
70	739.1490806
71	738.0569448
72	737.2248432
73	736.5416991
74	735.8704477
75	734.2413628
76	733.8231621
77	733.7070079
78	732.135219
79	731.8124798
80	730.811211
81	730.1664464
82	729.5471036
83	729.4348089
84	728.8798092
85	728.4216842
86	727.3983421
87	727.073766
88	723.5660205
89	722.7694193
90	721.950506
91	721.7242442
92	721.3565232
93	720.1794666
94	719.6769375
95	719.4406053
96	718.6593424
97	715.5469508
98	715.4368121
99	715.0734582
100	714.1821584
101	706.9431107
102	706.7986753
103	701.6241079
104	701.5252154
105	701.1179103
106	700.5856401
107	700.4688866
108	700.3373835
109	698.7492601
110	698.2804445
111	698.1837681
112	698.1509761
113	695.2668871
114	695.0782399
115	694.620664
116	690.3079843
117	689.7958457
118	689.4472752
119	688.5206755
120	684.8800182
121	684.4579321
122	682.947486
123	677.2691745
124	676.6850135
125	676.2952489
126	675.2980944
127	674.810677
128	674.1159976
129	670.194959
130	670.1251963
131	670.0352858
132	663.4162733
133	663.3633887
134	663.3010463
135	663.1279118
136	663.0524488
137	662.9014068
138	662.4833411
139	660.1483912
140	659.9762233
141	659.9084788
142	659.4829386
143	659.3792746
144	659.0415676
145	657.7434687
146	657.3032443
147	657.0618534
148	654.7732715
149	654.1130395
150	653.9024919
151	653.4235
152	653.0740147
153	652.3987054
154	652.1175499
155	651.9790611
156	645.2573265
157	644.4349862
158	637.8627108
159	637.3080799
160	637.0276669
161	633.8923262
162	631.9200945
163	627.2130241
164	627.1275688
165	620.9275297
166	620.8756496
167	620.782974
168	620.4286007
169	618.2125369
170	617.9698108
171	617.4033261
172	612.5929029
