iter	Passed	Remaining
0	59	59251
1	62	31048
2	66	22253
3	70	17657
4	74	14892
5	78	13002
6	81	11576
7	85	10563
8	89	9827
9	92	9135
10	94	8454
11	96	7982
12	100	7609
13	103	7313
14	106	7008
15	110	6792
16	113	6568
17	116	6332
18	119	6176
19	122	5999
20	124	5809
21	127	5667
22	131	5587
23	134	5464
24	136	5313
25	138	5203
26	141	5090
27	142	4940
28	146	4907
29	151	4888
30	153	4803
31	155	4716
32	158	4649
33	162	4628
34	165	4565
35	168	4509
36	171	4461
37	174	4414
38	177	4382
39	181	4365
40	184	4322
41	188	4290
42	191	4269
43	195	4242
44	198	4222
45	201	4176
46	204	4143
47	208	4129
48	209	4072
49	215	4092
50	218	4068
51	221	4034
52	222	3977
53	224	3932
54	227	3904
55	229	3874
56	233	3865
57	237	3849
58	239	3825
59	243	3810
60	246	3790
61	249	3768
62	251	3743
63	255	3732
64	259	3728
65	262	3710
66	264	3685
67	267	3662
68	270	3648
69	273	3636
70	277	3624
71	279	3604
72	282	3586
73	284	3561
74	287	3540
75	290	3526
76	293	3512
77	295	3494
78	298	3477
79	300	3453
80	303	3445
81	305	3423
82	307	3396
83	309	3377
84	312	3359
85	315	3353
86	318	3340
87	320	3317
88	322	3304
89	325	3290
90	328	3278
91	331	3269
92	333	3253
93	336	3241
94	339	3233
95	342	3221
96	344	3207
97	347	3193
98	349	3184
99	352	3170
100	355	3160
101	357	3151
102	360	3138
103	362	3125
104	364	3105
105	367	3098
106	370	3088
107	373	3084
108	378	3090
109	380	3079
110	382	3060
111	388	3078
112	390	3064
113	392	3053
114	395	3043
115	397	3025
116	398	3009
117	401	3000
118	403	2990
119	406	2978
120	408	2967
121	409	2948
122	412	2941
123	415	2938
124	418	2929
125	419	2912
126	421	2897
127	424	2888
128	426	2881
129	429	2875
130	431	2860
131	433	2851
132	436	2845
133	438	2835
134	440	2821
135	443	2817
136	444	2802
137	447	2796
138	450	2788
139	453	2787
140	456	2780
141	458	2768
142	460	2760
143	461	2746
144	464	2741
145	468	2740
146	471	2733
147	473	2722
148	476	2722
149	480	2721
150	482	2713
151	485	2706
152	487	2696
153	489	2687
154	490	2672
155	492	2664
156	494	2654
157	496	2646
158	498	2636
159	500	2627
160	502	2617
161	504	2607
162	505	2596
163	507	2586
164	508	2574
165	510	2565
166	512	2555
167	513	2544
168	515	2534
169	517	2524
170	518	2514
171	520	2503
172	522	2496
173	523	2484
174	525	2476
175	527	2468
176	529	2461
177	531	2453
178	532	2444
179	534	2435
180	535	2424
181	537	2416
182	539	2407
183	540	2399
184	542	2390
185	544	2382
186	546	2374
187	547	2366
188	549	2357
189	551	2350
190	553	2342
191	554	2334
192	556	2327
193	558	2319
194	560	2312
195	561	2304
196	563	2298
197	565	2291
198	567	2284
199	569	2277
200	570	2269
201	572	2262
202	574	2255
203	576	2248
204	578	2242
205	580	2235
206	581	2228
207	583	2222
208	585	2214
209	586	2207
210	588	2202
211	590	2195
212	592	2188
213	594	2182
214	596	2176
215	598	2170
216	600	2165
217	601	2158
218	603	2153
219	605	2147
220	607	2140
221	609	2135
222	611	2130
223	613	2123
224	614	2117
225	616	2110
226	618	2104
227	619	2098
228	621	2092
229	623	2087
230	625	2081
231	627	2077
232	629	2071
233	631	2066
234	633	2061
235	634	2055
236	636	2049
237	638	2042
238	639	2037
239	641	2032
240	643	2026
241	645	2021
242	646	2015
243	648	2009
244	650	2003
245	651	1997
246	654	1994
247	660	2003
248	662	1999
249	664	1993
250	666	1988
251	668	1983
252	669	1977
253	672	1974
254	674	1969
255	676	1964
256	677	1959
257	679	1953
258	681	1948
259	682	1943
260	684	1937
261	686	1932
262	688	1929
263	690	1924
264	692	1921
265	694	1917
266	697	1913
267	698	1908
268	700	1903
269	702	1898
270	703	1893
271	705	1888
272	707	1884
273	709	1880
274	711	1874
275	712	1869
276	714	1864
277	715	1859
278	717	1854
279	719	1849
280	721	1845
281	723	1840
282	724	1836
283	726	1832
284	728	1828
285	730	1823
286	732	1818
287	734	1814
288	736	1811
289	738	1807
290	740	1803
291	742	1800
292	744	1796
293	746	1791
294	747	1787
295	749	1783
296	752	1781
297	754	1776
298	755	1772
299	757	1767
300	759	1762
301	760	1758
302	762	1754
303	764	1751
304	766	1746
305	768	1741
306	769	1737
307	771	1733
308	773	1729
309	774	1724
310	776	1720
311	778	1716
312	780	1713
313	782	1709
314	784	1705
